69,$4.99,Grand Theft Auto III,March 4 2015,Varies with device,Varies with device,1000000 - 5000000,High Maturity,Action,Rockstar Games Inc.,https://play.google.com/store/apps/details?id=com.rockstar.gta3,com.rockstar.gta3
76,$1.29,Construction Simulator 2014,April 2 2015,Everyone,500000 - 1000000,4.0.3 and up,astragon Software GmbH,Simulation,astragon Software GmbH,https://play.google.com/store/apps/details?id=com.astragon.cs2014,com.astragon.cs2014
84,$4.99,Worms 2: Armageddon,January 16 2014,1.4.0,95M,500000 - 1000000,Medium Maturity,Strategy,Team 17 Digital Limited,https://play.google.com/store/apps/details?id=com.worms2armageddon.app,com.worms2armageddon.app
89,$1.99,Doodle God™,April 22 2015,3.1.09,41M,100000 - 500000,Low Maturity,Puzzle,JoyBits Co. Ltd.,https://play.google.com/store/apps/details?id=joybits.doodlegod,joybits.doodlegod
94,$0.99,Tomb Raider I,April 1 2015,1.0.20RC,320M,50000 - 100000,Medium Maturity,Action,SQUARE ENIX Ltd,https://play.google.com/store/apps/details?id=com.squareenix.tombraider1classic,com.squareenix.tombraider1classic
116,$2.99,Shadowrun: Dragonfall - DC,February 19 2015,2.0.11,813M,10000 - 50000,High Maturity,Strategy,Harebrained Schemes,https://play.google.com/store/apps/details?id=com.harebrainedschemes.dragonfall,com.harebrainedschemes.dragonfall
112,$2.50,Zombie City Defense,January 21 2015,1.3.2,45M,50000 - 100000,Medium Maturity,Strategy,Mozg Labs,https://play.google.com/store/apps/details?id=com.mozglabs.citysiedge,com.mozglabs.citysiedge
106,$2.99,Little Inferno,April 7 2015,1.2.1,104M,50000 - 100000,Low Maturity,Casual,Tomorrow Corporation,https://play.google.com/store/apps/details?id=com.littleinferno.google,com.littleinferno.google
67,$2.30,Game Dev Story,January 14 2015,1.1.9,5.7M,500000 - 1000000,Everyone,Casual,Kairosoft Co.Ltd,https://play.google.com/store/apps/details?id=net.kairosoft.android.gamedev3en,net.kairosoft.android.gamedev3en
91,$9.99,Castle of Illusion,October 24 2014,Varies with device,Varies with device,100000 - 500000,Everyone,Adventure,Disney,https://play.google.com/store/apps/details?id=com.disney.castleofillusion_goo,com.disney.castleofillusion_goo
65,$0.99,The Impossible Game,April 30 2011,1.5.2,1.9M,100000 - 500000,Everyone,Arcade,FlukeDude,https://play.google.com/store/apps/details?id=com.flukedude.impossiblegame,com.flukedude.impossiblegame
75,$9.99,Grim Fandango Remastered,May 5 2015,1.5.9,3.2G,1000 - 5000,Medium Maturity,Adventure,Double Fine Productions,https://play.google.com/store/apps/details?id=com.doublefine.grimfandangoremastered,com.doublefine.grimfandangoremastered
101,$1.99,Shadowrun Returns,April 20 2014,1.2.6,801M,100000 - 500000,High Maturity,Action,Harebrained Schemes,https://play.google.com/store/apps/details?id=com.harebrainedschemes.shadowrun,com.harebrainedschemes.shadowrun
81,$3.99,Catan,March 12 2015,Varies with device,Varies with device,100000 - 500000,Everyone,Board,USM,https://play.google.com/store/apps/details?id=com.exozet.android.catan,com.exozet.android.catan
114,$2.99,Dirt Trackin,April 11 2015,Everyone,10000 - 50000,4.1 and up,N/A,Racing,Bennett Racing Simulations,https://play.google.com/store/apps/details?id=com.bennettracingsimulations.dirttrackin,com.bennettracingsimulations.dirttrackin
95,$1.99,Sprint Car Dirt Track Game,April 30 2015,1.0,41M,500 - 1000,Everyone,Racing,razmobi,https://play.google.com/store/apps/details?id=com.razmobi.sprintcargame3d,com.razmobi.sprintcargame3d
82,$0.99,The Price is Right™ Decades,March 25 2013,1.0.0,525M,100000 - 500000,Everyone,Casual,Ludia Inc.,https://play.google.com/store/apps/details?id=com.ludia.tpirdecades,com.ludia.tpirdecades
71,$4.99,Leo's Fortune,October 31 2014,1.0.4,327M,100000 - 500000,Low Maturity,Adventure,1337 & Senri LLC,https://play.google.com/store/apps/details?id=com.leosfortune,com.leosfortune
63,$1.99,Motorsport Manager,May 13 2015,1.1.5,154M,100000 - 500000,Low Maturity,Racing,Christian West,https://play.google.com/store/apps/details?id=com.game.motorsportmanager,com.game.motorsportmanager
78,$0.99,Papa's Pizzeria To Go!,November 21 2014,Everyone,10000 - 50000,2.2 and up,Flipline Studios,Strategy,Flipline Studios,https://play.google.com/store/apps/details?id=air.com.flipline.papaspizzeriatogo,air.com.flipline.papaspizzeriatogo
119,$0.99,Marvel Pinball,April 23 2015,1.5,14M,50000 - 100000,Low Maturity,Arcade,Zen Studios,https://play.google.com/store/apps/details?id=com.zenstudios.MarvelPinball,com.zenstudios.MarvelPinball
113,$3.99,Exploration,July 4 2014,1.3.3,2.3M,50000 - 100000,Everyone,Adventure,Andrzej Chomiak,https://play.google.com/store/apps/details?id=com.explorationbase.Exploration,com.explorationbase.Exploration
